duplicate_id,event_date,duplicate_mrn,original_mrn,source,department_id,department_name,service_line,contributory_factor_type,contributory_factors,primary_category,status,resolution_type,days_to_resolution,assigned_analyst,facility,patient_age_group,duplicate_score,investigation_time_minutes
1,2024-06-12,31477602,92883218,Internal Registration,4,Specialty Clinics,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,Split,12,Arlan Aggett,THE MEMORIAL HOSPITAL,Senior,67,19
2,2025-10-11,73954160,45021889,Internal Registration,5,Laboratory,Ancillary,Data Entry Error,Incorrect address entry,Address,Resolved,Merge,9,Isa Bruins,FAITH COMMUNITY HOSPITAL,Adult,98,22
3,2025-04-04,60958097,80080980,Self-schedule,4,Specialty Clinics,Ambulatory,System Issue,Interface mapping error,System/Interface,Resolved,Split,6,Viviana Andrin,"GOMEZ MEDICAL CENTER, INC.",Adult,80,44
4,2024-12-04,75964574,56238627,Internal Registration,2,Emergency Department,Emergency,Data Entry Error,DOB typo,Date of Birth,Resolved,KND,1,Colette Glavis,"MERCY HOSPITAL TISHOMINGO, INC.",Adult,81,12
5,2024-06-02,81304948,17770215,Internal Registration,8,Behavioral Health,Behavioral Health,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Split,4,Caria Fair,HOLLY HILL HOSPITAL LLC,Pediatric,82,20
6,2024-05-23,81947250,163850,Internal Registration,4,Specialty Clinics,Ambulatory,Data Entry Error,Incorrect address entry,Address,Resolved,KND,5,Travis O'Hederscoll,WAHIAWA GENERAL HOSPITAL,Adult,65,8
7,2024-04-27,6694484,93388097,Internal Registration,2,Emergency Department,Emergency,Data Entry Error,Name typo,Patient Name,In Progress,Pending,27,Joyann Frake,"LITTLE RIVER MEDICAL CENTER, INC.",Senior,68,34
8,2025-03-29,81476232,40094186,Referral,6,Radiology,Ancillary,Workflow Issue,Skipped duplicate search,Workflow,Escalated,Pending,30,Marti Ridgway,"PORT HURON HOSPITAL CRNA BILLING, LLC",Adult,84,18
9,2024-02-13,5458465,28317413,Patient Portal,7,Inpatient,Inpatient,System Issue,Data synchronization issue,System/Interface,Resolved,KND,11,Sandor Fewings,"RICHLAND MEDICAL CENTER, INC.",Pediatric,86,40
10,2025-06-02,96067275,78153616,Self-schedule,8,Behavioral Health,Behavioral Health,System Issue,Interface mapping error,System/Interface,Resolved,KND,3,Barbra Tessington,"GREATER BALTIMORE MEDICAL CENTER, INC.",Adult,90,6
11,2026-01-31,41644006,99094350,Emergency Department,2,Emergency Department,Emergency,Patient Input Error,Incorrect patient information,Other,Resolved,Merge,6,Essy Chapelhow,"NORTHWESTERN MEDICAL CENTER, INC.",Pediatric,98,55
12,2026-05-21,68077041,80314517,Emergency Department,1,Primary Care,Ambulatory,System Issue,System duplicate creation,System/Interface,Resolved,No Action Required,9,Grazia Callard,FREEDOM BEHAVIORAL HOSPITAL OF CENTRAL ARKANSAS LLC,Senior,82,7
13,2025-12-30,40398441,56740600,Emergency Department,1,Primary Care,Ambulatory,Data Entry Error,Incorrect address entry,Address,Resolved,KND,7,Ilyse McCotter,"CONWAY HOSPITAL, INC.",Adult,67,22
14,2026-03-13,38258358,39638554,Call Center,7,Inpatient,Inpatient,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Split,14,Cindee Knoller,DESOTO HOSPITAL ASSOCIATION,Adult,85,23
15,2025-12-03,94996111,83772923,Emergency Department,2,Emergency Department,Emergency,Registration Information,Duplicate registration attempt,Registration Process,Resolved,Split,8,Bernadene Shird,SELECT SPECIALTY HOSPITAL - FORT WAYNE INC,Adult,89,167
16,2025-04-09,63962654,7490288,Self-schedule,7,Inpatient,Inpatient,Registration Information,Missing insurance information,Insurance Information,Resolved,Split,5,Denice Leslie,FOSTORIA COMMUNITY HOSPITAL,Adult,97,12
17,2026-04-05,28487483,29932774,Self-schedule,7,Inpatient,Inpatient,Data Entry Error,Transposed first/last name,Patient Name,Resolved,No Action Required,3,Redford Lamprecht,ISOCARE CONVALESCENT HOSPITAL OF MONTE VISTA INC.,Senior,91,162
18,2024-02-21,21700324,11483494,Emergency Department,7,Inpatient,Inpatient,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Split,9,Sara Daymont,ST CATHERINE HOSPITAL,Adult,88,20
19,2025-10-10,67731950,43856264,Internal Registration,7,Inpatient,Inpatient,Data Entry Error,Incorrect address entry,Address,Pending Review,Pending,14,Inger Miliffe,WASHINGTON HOSPITAL CENTER CORP,Adult,85,19
20,2023-09-14,40599934,67931302,Internal Registration,7,Inpatient,Inpatient,Registration Information,Missing insurance information,Insurance Information,Resolved,No Action Required,6,Lonnard Crosston,HAYWARD SISTERS HOSPITAL,Senior,47,10
21,2025-11-21,26747679,13682050,Call Center,8,Behavioral Health,Behavioral Health,Data Entry Error,DOB typo,Date of Birth,Resolved,Split,7,Bamby Mockford,LAFOURCHE PARISH HOSPITAL SERVICE DISTRICT #2,Adult,74,18
22,2024-06-30,85535667,50525844,Call Center,2,Emergency Department,Emergency,Registration Information,Missing insurance information,Insurance Information,Resolved,Split,2,Drusi Siemandl,"CANDLER HOSPITAL, INC.",Senior,100,129
23,2024-07-19,52727821,89404727,Call Center,3,Urgent Care,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,KND,13,Anatol Stickney,MYMICHIGAN MEDICAL CENTER ALPENA,Senior,90,9
24,2024-01-16,76598459,55225576,Patient Portal,3,Urgent Care,Ambulatory,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Split,6,Ludovico Gerriets,TITUS COUNTY HOSPITAL DISTRICT,Adult,88,59
25,2025-12-12,65377907,76313681,Patient Portal,8,Behavioral Health,Behavioral Health,Data Entry Error,Incorrect address entry,Address,Resolved,Merge,3,Mavis Yakob,RUSH UNIVERSITY MEDICAL CENTER,Adult,73,94
26,2025-06-24,34105017,36165098,Call Center,1,Primary Care,Ambulatory,Data Entry Error,Incorrect address entry,Address,Resolved,Merge,7,Doris Mellor,CONVIVA MEDICAL CENTER MANAGEMENT LLC,Pediatric,70,16
27,2023-09-28,49701322,80572753,Self-schedule,8,Behavioral Health,Behavioral Health,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,KND,9,Zachariah Tesoe,NORTH MISSISSIPPI MEDICAL CENTER,Adult,82,38
28,2024-11-29,68878416,49201477,Self-schedule,2,Emergency Department,Emergency,Data Entry Error,Name typo,Patient Name,Resolved,Split,4,Marwin Turbern,JENNIE STUART MEDICAL CENTER INC,Pediatric,96,45
29,2025-02-23,76175188,31374845,Internal Registration,7,Inpatient,Inpatient,Data Entry Error,Name typo,Patient Name,Resolved,Split,5,Graham Huke,HURLEY MEDICAL CENTER,Senior,90,75
30,2026-04-23,65277085,44769596,Internal Registration,1,Primary Care,Ambulatory,System Issue,System duplicate creation,System/Interface,Resolved,KND,2,Garrot Chrishop,DOCTORS PLUS MEDICAL CENTER INC,Adult,85,6
31,2024-10-20,87403646,24469408,Emergency Department,7,Inpatient,Inpatient,Registration Information,Duplicate registration attempt,Registration Process,Resolved,KND,2,Ginevra Dulany,"CAMC PLATEAU MEDICAL CENTER, INC.",Adult,42,58
32,2024-10-13,55018218,66116185,Emergency Department,6,Radiology,Ancillary,System Issue,Data synchronization issue,System/Interface,Resolved,Split,3,Martyn Dineen,CENTRAL OKLAHOMA FAMILY MEDICAL CENTER,Adult,94,63
33,2025-07-14,72523929,95713541,Referral,3,Urgent Care,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,No Action Required,10,Vanessa Twizell,ANAHEIM GENERAL HOSPITAL LTD,Adult,99,68
34,2024-11-03,99844520,64031155,Referral,6,Radiology,Ancillary,Registration Information,Missing insurance information,Insurance Information,Resolved,Merge,10,Toni Ussher,ONE STAR MEDICAL CENTER,Adult,67,5
35,2026-01-21,94124681,70970271,Internal Registration,8,Behavioral Health,Behavioral Health,Data Entry Error,DOB typo,Date of Birth,Resolved,No Action Required,7,Amos Vernazza,VETERANS ADMINISTRATION HOSPITAL,Adult,89,7
36,2025-04-14,12914160,65369581,Self-schedule,3,Urgent Care,Ambulatory,Workflow Issue,Skipped duplicate search,Workflow,Resolved,Merge,15,Olivero Barwack,"VALLADARES MEDICAL CENTER, LLC",Adult,98,66
37,2023-09-10,28252875,93572293,Internal Registration,6,Radiology,Ancillary,Patient Input Error,Guardian entered own name,Patient Name,Resolved,KND,12,Arleen Seligson,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,Adult,88,144
38,2024-05-09,86375481,82431777,Internal Registration,3,Urgent Care,Ambulatory,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Merge,3,Hollie Ewing,DELAWARE COUNTY MEMORIAL HOSPITAL,Senior,92,63
39,2025-07-09,63259448,47611056,Emergency Department,3,Urgent Care,Ambulatory,Workflow Issue,Registration workflow deviation,Workflow,Resolved,Merge,9,Maxie O'Hern,SOUTHWEST MOUNTAIN STAR MEDICAL CENTER PA,Adult,98,8
40,2025-05-05,4274551,78281826,Self-schedule,7,Inpatient,Inpatient,Data Entry Error,Incorrect address entry,Address,Resolved,No Action Required,11,Ivie Meadows,SOUND MEDICAL CENTER INC,Senior,69,19
41,2025-01-22,93560479,83176149,Internal Registration,4,Specialty Clinics,Ambulatory,System Issue,System duplicate creation,System/Interface,In Progress,Pending,21,Corbie Ulyat,KAISER FOUNDATION HOSPITALS,Senior,65,13
42,2024-09-20,83749830,34502479,Internal Registration,3,Urgent Care,Ambulatory,System Issue,Interface mapping error,System/Interface,Resolved,KND,1,Desirae Rigney,HUNTINGTON HOSPITAL,Adult,83,46
43,2024-02-02,99264273,66084993,Self-schedule,7,Inpatient,Inpatient,Workflow Issue,Skipped duplicate search,Workflow,Resolved,No Action Required,14,Sherlocke Chrippes,"NORTHERN ROCKIES MEDICAL CENTER, INC",Pediatric,91,18
44,2026-06-18,76456762,93513321,Patient Portal,7,Inpatient,Inpatient,System Issue,System duplicate creation,System/Interface,Resolved,Merge,9,Blane Lorrie,OROVILLE HOSPITAL,Adult,82,181
45,2025-08-28,91943789,76428155,Call Center,7,Inpatient,Inpatient,Data Entry Error,Transposed first/last name,Patient Name,Resolved,KND,15,Marilyn Iacomelli,DAY KIMBALL HOSPITAL DIABETES EDUCATION PROGRAM,Adult,60,19
46,2023-11-25,5513999,71930152,Internal Registration,8,Behavioral Health,Behavioral Health,Patient Input Error,Incorrect patient information,Other,Resolved,KND,9,Ryann Allenby,"FORSYTH MEMORIAL HOSPITAL, INC",Senior,96,15
47,2024-12-23,42438901,37907291,Internal Registration,4,Specialty Clinics,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,KND,1,Kincaid De Dantesie,MINNEAPOLIS VETERANS AFFAIR MEDICAL CENTER,Adult,99,171
48,2024-10-03,83626144,9928901,Internal Registration,5,Laboratory,Ancillary,Data Entry Error,Name typo,Patient Name,Resolved,Merge,9,Nathan Scane,WILSON COUNTY HOSPITAL,Adult,84,25
49,2026-01-02,21155756,15587427,Patient Portal,1,Primary Care,Ambulatory,Registration Information,Duplicate registration attempt,Registration Process,In Progress,Pending,7,Charis Dungey,FLOYD VALLEY HOSPITAL,Senior,70,20
50,2024-04-01,97675318,80030450,Self-schedule,1,Primary Care,Ambulatory,Data Entry Error,Transposed first/last name,Patient Name,In Progress,Pending,23,Ira Hollows,WEST WHARTON COUNTY HOSPITAL DISTRICT,Senior,67,24
51,2025-07-30,21466451,47552879,Self-schedule,7,Inpatient,Inpatient,Registration Information,Duplicate registration attempt,Registration Process,Resolved,KND,9,Maureene Shingfield,ATLANTIC GROUP MEDICAL CENTER INC,Adult,96,67
52,2024-08-12,85247025,58823277,Emergency Department,4,Specialty Clinics,Ambulatory,Workflow Issue,Registration workflow deviation,Workflow,In Progress,Pending,21,Marrissa Tash,PROCARE MEDICAL CENTER OF OAK PARK S.C.,Senior,99,5
53,2024-08-08,73575203,8192817,Internal Registration,7,Inpatient,Inpatient,System Issue,Data synchronization issue,System/Interface,Resolved,No Action Required,8,Gretel Loalday,"WHITE-WILSON MEDICAL CENTER, P.A.",Senior,75,6
54,2024-03-11,32670424,76587189,Patient Portal,3,Urgent Care,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,Split,15,Ody Van de Castele,NICOLA MEDICAL CENTER,Adult,91,100
55,2024-10-17,84329982,14435313,Emergency Department,3,Urgent Care,Ambulatory,Workflow Issue,Skipped duplicate search,Workflow,Resolved,KND,8,Donovan Guildford,SILVER CROSS HOSPITAL & MEDICAL CENTERS,Pediatric,95,21
